root_category,NULL
リュック/バックパック,217
ウエストポーチ,217
ボディーバッグ,217
ドラムバッグ,217
ビジネスバッグ,217
トラベルバッグ,217
メッセンジャーバッグ,217
エコバッグ,217
その他,217
スーツジャケット,218
スーツベスト,218
スラックス,218
セットアップ,218
その他,218
キャップ,219
ハット,219
ニットキャップ/ビーニー,219
ハンチング/ベレー帽,219
キャスケット,219
サンバイザー,219
その他,219
ネックレス,220
ブレスレット,220
バングル/リストバンド,220
リング,220
ピアス(片耳用),220
ピアス(両耳用),220
アンクレット,220
その他,220
長財布,221
折り財布,221
マネークリップ,221
コインケース/小銭入れ,221
名刺入れ/定期入れ,221
キーケース,221
キーホルダー,221
ネクタイ,221
手袋,221
ハンカチ,221
ベルト,221
マフラー,221
ストール,221
バンダナ,221
ネックウォーマー,221
サスペンダー,221
ウォレットチェーン,221
サングラス/メガネ,221
モバイルケース/カバー,221
手帳,221
ストラップ,221
ネクタイピン,221
カフリンクス,221
イヤマフラー,221
傘,221
レインコート,221
ミラー,221
タバコグッズ,221
その他,221
腕時計(アナログ),222
腕時計(デジタル),222
ラバーベルト,222
レザーベルト,222
金属ベルト,222
その他,222
一般水着,223
スポーツ用,223
アクセサリー,223
その他,223
ソックス,224
レギンス/スパッツ,224
レッグウォーマー,224
その他,224
トランクス,225
ボクサーパンツ,225
その他,225
その他,226
ベビー服(女の子用) ~95cm,             4
ベビー服(男の子用) ~95cm,4
ベビー服(男女兼用) ~95cm,4
キッズ服(女の子用) 100cm~,4
キッズ服(男の子用) 100cm~,4
キッズ服(男女兼用) 100cm~,4
キッズ靴,4
子ども用ファッション小物,4
おむつ/トイレ/バス,4
外出/移動用品,4
授乳/食事,4
ベビー家具/寝具/室内用品,4
おもちゃ,4
行事/記念品,4
その他,4
トップス,358
アウター,358
パンツ,358
スカート,358
ワンピース,358
ベビードレス,358
おくるみ,358
下着/肌着,358
パジャマ,358
ロンパース,358
その他,358
トップス,359
アウター,359
パンツ,359
おくるみ,359
下着/肌着,359
パジャマ,359
ロンパース,359
その他,359
トップス,360
アウター,360
パンツ,360
おくるみ,360
下着/肌着,360
パジャマ,360
ロンパース,360
その他,360
コート,361
ジャケット/上着,361
トップス(Tシャツ/カットソー),361
トップス(トレーナー),361
トップス(チュニック),361
トップス(タンクトップ),361
トップス(その他),361
スカート,361
パンツ,361
ワンピース,361
セットアップ,361
パジャマ,361
フォーマル/ドレス,361
和服,361
浴衣,361
甚平,361
水着,361
その他,361
コート,362
ジャケット/上着,362
トップス(Tシャツ/カットソー),362
トップス(トレーナー),362
トップス(その他),362
パンツ,362
セットアップ,362
パジャマ,362
フォーマル/ドレス,362
和服,362
浴衣,362
甚平,362
水着,362
その他,362
コート,363
ジャケット/上着,363
トップス(Tシャツ/カットソー),363
トップス(トレーナー),363
トップス(その他),363
ボトムス,363
パジャマ,363
その他,363
スニーカー,364
サンダル,364
ブーツ,364
長靴,364
その他,364
靴下/スパッツ,365
帽子,365
エプロン,365
サスペンダー,365
タイツ,365
ハンカチ,365
バンダナ,365
ベルト,365
マフラー,365
傘,365
手袋,365
スタイ,365
バッグ,365
その他,365
おむつ用品,366
おまる/補助便座,366
トレーニングパンツ,366
ベビーバス,366
お風呂用品,366
その他,366
ベビーカー,367
抱っこひも/スリング,367
チャイルドシート,367
その他,367
ミルク,368
ベビーフード,368
ベビー用食器,368
その他,368
ベッド,369
布団/毛布,369
イス,369
たんす,369
その他,369
おふろのおもちゃ,370
がらがら,370
オルゴール,370
ベビージム,370
手押し車/カタカタ,370
知育玩具,370
その他,370
お宮参り用品,371
お食い初め用品,371
アルバム,371
手形/足形,371
その他,371
母子手帳用品,372
その他,372
キッチン/食器,              5
ベッド/マットレス,5
ソファ/ソファベッド,5
椅子/チェア,5
机/テーブル,5
収納家具,5
ラグ/カーペット/マット,5
カーテン/ブラインド,5
ライト/照明,5
寝具,5
インテリア小物,5
季節/年中行事,5
その他,5
食器,492
調理器具,492
収納/キッチン雑貨,492
弁当用品,492
カトラリー(スプーン等),492
テーブル用品,492
容器,492
エプロン,492
アルコールグッズ,492
浄水機,492
その他,492
セミシングルベッド,493
シングルベッド,493
セミダブルベッド,493
ダブルベッド,493
ワイドダブルベッド,493
クイーンベッド,493
キングベッド,493
脚付きマットレスベッド,493
マットレス,493
すのこベッド,493
ロフトベッド/システムベッド,493
簡易ベッド/折りたたみベッド,493
収納付き,493
その他,493
ソファセット,494
シングルソファ,494
ラブソファ,494
トリプルソファ,494
オットマン,494
コーナーソファ,494
ビーズソファ/クッションソファ,494
ローソファ/フロアソファ,494
ソファベッド,494
応接セット,494
ソファカバー,494
リクライニングソファ,494
その他,494
一般,495
スツール,495
ダイニングチェア,495
ハイバックチェア,495
ロッキングチェア,495
座椅子,495
折り畳みイス,495
デスクチェア,495
その他,495
こたつ,496
カウンターテーブル,496
サイドテーブル,496
センターテーブル,496
ダイニングテーブル,496
座卓/ちゃぶ台,496
アウトドア用,496
パソコン用,496
事務机/学習机,496
その他,496
リビング収納,497
キッチン収納,497
玄関/屋外収納,497
バス/トイレ収納,497
本収納,497
本/CD/DVD収納,497
洋服タンス/押入れ収納,497
電話台/ファックス台,497
ドレッサー/鏡台,497
棚/ラック,497
ケース/ボックス,497
その他,497
ラグ,498
カーペット,498
ホットカーペット,498
玄関/キッチンマット,498
トイレ/バスマット,498
その他,498
カーテン,499
ブラインド,499
ロールスクリーン,499
のれん,499
その他,499
蛍光灯/電球,500
天井照明,500
フロアスタンド,500
その他,500
布団/毛布,501
枕,501
シーツ/カバー,501
その他,501
ごみ箱,502
ウェルカムボード,502
オルゴール,502
クッション,502
クッションカバー,502
スリッパラック,502
ティッシュボックス,502
バスケット/かご,502
フォトフレーム,502
マガジンラック,502
モビール,502
花瓶,502
灰皿,502
傘立て,502
小物入れ,502
置時計,502
掛時計/柱時計,502
鏡(立て掛け式),502
鏡(壁掛け式),502
置物,502
風鈴,502
植物/観葉植物,502
その他,502
正月,503
成人式,503
バレンタインデー,503
ひな祭り,503
子どもの日,503
母の日,503
父の日,503
サマーギフト/お中元,503
夏/夏休み,503
ハロウィン,503
敬老の日,503
七五三,503
お歳暮,503
クリスマス,503
冬一般,503
その他,503
その他,504
本,                 6
漫画,6
雑誌,6
CD,6
DVD/ブルーレイ,6
レコード,6
テレビゲーム,6
文学/小説,633
人文/社会,633
ノンフィクション/教養,633
地図/旅行ガイド,633
ビジネス/経済,633
健康/医学,633
コンピュータ/IT,633
趣味/スポーツ/実用,633
住まい/暮らし/子育て,633
アート/エンタメ,633
洋書,633
絵本,633
参考書,633
その他,633
全巻セット,634
少年漫画,634
少女漫画,634
青年漫画,634
女性漫画,634
同人誌,634
その他,634
アート/エンタメ/ホビー,635
ファッション,635
ニュース/総合,635
趣味/スポーツ,635
その他,635
邦楽,636
洋楽,636
アニメ,636
クラシック,636
K-POP/アジア,636
キッズ/ファミリー,636
その他,636
外国映画,637
日本映画,637
アニメ,637
TVドラマ,637
ミュージック,637
お笑い/バラエティ,637
スポーツ/フィットネス,637
キッズ/ファミリー,637
その他,637
邦楽,638
洋楽,638
その他,638
家庭用ゲーム本体,639
家庭用ゲームソフト,639
携帯用ゲーム本体,639
携帯用ゲームソフト,639
PCゲーム,639
その他,639
おもちゃ,                              7
タレントグッズ,7
コミック/アニメグッズ,7
トレーディングカード,7
フィギュア,7
楽器/器材,7
コレクション,7
ミリタリー,7
美術品,7
アート用品,7
その他,7
キャラクターグッズ,691
ぬいぐるみ,691
小物/アクセサリー,691
模型/プラモデル,691
ミニカー,691
トイラジコン,691
プラモデル,691
ホビーラジコン,691
鉄道模型,691
その他,691
アイドル,692
ミュージシャン,692
タレント/お笑い芸人,692
スポーツ選手,692
その他,692
ストラップ,693
キーホルダー,693
バッジ,693
カード,693
クリアファイル,693
ポスター,693
タオル,693
その他,693
遊戯王,694
マジック：ザ・ギャザリング,694
ポケモンカードゲーム,694
デュエルマスターズ,694
バトルスピリッツ,694
プリパラ,694
アイカツ,694
カードファイト!! ヴァンガード,694
ヴァイスシュヴァルツ,694
プロ野球オーナーズリーグ,694
ベースボールヒーローズ,694
ドラゴンボール,694
スリーブ,694
その他,694
コミック/アニメ,695
特撮,695
ゲームキャラクター,695
SF/ファンタジー/ホラー,695
アメコミ,695
スポーツ,695
ミリタリー,695
その他,695
エレキギター,696
アコースティックギター,696
ベース,696
エフェクター,696
アンプ,696
弦楽器,696
管楽器,696
鍵盤楽器,696
打楽器,696
和楽器,696
楽譜/スコア,696
レコーディング/PA機器,696
DJ機器,696
DTM/DAW,696
その他,696
武具,697
使用済切手/官製はがき,697
旧貨幣/金貨/銀貨/記念硬貨,697
印刷物,697
ノベルティグッズ,697
その他,697
トイガン,698
個人装備,698
その他,698
陶芸,699
ガラス,699
漆芸,699
金属工芸,699
絵画/タペストリ,699
版画,699
彫刻/オブジェクト,699
書,699
写真,699
その他,699
画材,700
額縁,700
その他,700
トランプ/UNO,701
カルタ/百人一首,701
ダーツ,701
ビリヤード,701
麻雀,701
パズル/ジグソーパズル,701
囲碁/将棋,701
オセロ/チェス,701
人生ゲーム,701
野球/サッカーゲーム,701
スポーツ,701
三輪車/乗り物,701
ヨーヨー,701
模型製作用品,701
鉄道,701
航空機,701
アマチュア無線,701
パチンコ/パチスロ,701
その他,701
ベースメイク,                            8
メイクアップ,8
ネイルケア,8
香水,8
スキンケア/基礎化粧品,8
ヘアケア,8
ボディケア,8
オーラルケア,8
リラクゼーション,8
ダイエット,8
その他,8
ファンデーション,803
化粧下地,803
コントロールカラー,803
BBクリーム,803
CCクリーム,803
コンシーラー,803
フェイスパウダー,803
トライアルセット/サンプル,803
その他,803
アイシャドウ,804
口紅,804
リップグロス,804
リップライナー,804
チーク,804
フェイスカラー,804
マスカラ,804
アイライナー,804
つけまつげ,804
アイブロウペンシル,804
パウダーアイブロウ,804
眉マスカラ,804
トライアルセット/サンプル,804
メイク道具/化粧小物,804
美顔用品/美顔ローラー,804
その他,804
ネイルカラー,805
カラージェル,805
ネイルベースコート/トップコート,805
ネイルアート用品,805
ネイルパーツ,805
ネイルチップ/付け爪,805
手入れ用具,805
除光液,805
その他,805
香水(女性用),806
香水(男性用),806
ユニセックス,806
ボディミスト,806
その他,806
化粧水/ローション,807
乳液/ミルク,807
美容液,807
フェイスクリーム,807
洗顔料,807
クレンジング/メイク落とし,807
パック/フェイスマスク,807
ジェル/ゲル,807
ブースター/導入液,807
アイケア,807
リップケア,807
トライアルセット/サンプル,807
洗顔グッズ,807
その他,807
シャンプー,808
トリートメント,808
コンディショナー,808
リンス,808
スタイリング剤,808
カラーリング剤,808
ブラシ,808
その他,808
オイル/クリーム,809
ハンドクリーム,809
ローション,809
日焼け止め/サンオイル,809
ボディソープ,809
入浴剤,809
制汗/デオドラント,809
フットケア,809
その他,809
口臭防止/エチケット用品,810
歯ブラシ,810
その他,810
エッセンシャルオイル,811
芳香器,811
お香/香炉,811
キャンドル,811
リラクゼーショングッズ,811
その他,811
ダイエット食品,812
エクササイズ用品,812
体重計,812
体脂肪計,812
その他,812
健康用品,813
看護/介護用品,813
救急/衛生用品,813
その他,813
スマートフォン/携帯電話,                 9
スマホアクセサリー,9
PC/タブレット,9
カメラ,9
テレビ/映像機器,9
オーディオ機器,9
美容/健康,9
冷暖房/空調,9
生活家電,9
その他,9
スマートフォン本体,902
バッテリー/充電器,902
携帯電話本体,902
PHS本体,902
その他,902
Android用ケース,903
iPhone用ケース,903
カバー,903
イヤホンジャック,903
ストラップ,903
フィルム,903
自撮り棒,903
その他,903
タブレット,904
ノートPC,904
デスクトップ型PC,904
ディスプレイ,904
電子ブックリーダー,904
PC周辺機器,904
PCパーツ,904
その他,904
デジタルカメラ,905
ビデオカメラ,905
レンズ(単焦点),905
レンズ(ズーム),905
フィルムカメラ,905
防犯カメラ,905
その他,905
テレビ,906
プロジェクター,906
ブルーレイレコーダー,906
DVDレコーダー,906
ブルーレイプレーヤー,906
DVDプレーヤー,906
映像用ケーブル,906
その他,906
ポータブルプレーヤー,907
イヤフォン,907
ヘッドフォン,907
アンプ,907
スピーカー,907
ケーブル/シールド,907
ラジオ,907
その他,907
ヘアドライヤー,908
ヘアアイロン,908
美容機器,908
電気シェーバー,908
電動歯ブラシ,908
その他,908
エアコン,909
空気清浄器,909
加湿器,909
扇風機,909
除湿機,909
ファンヒーター,909
電気ヒーター,909
オイルヒーター,909
ストーブ,909
ホットカーペット,909
こたつ,909
電気毛布,909
その他,909
冷蔵庫,910
洗濯機,910
炊飯器,910
電子レンジ/オーブン,910
調理機器,910
アイロン,910
掃除機,910
エスプレッソマシン,910
コーヒーメーカー,910
衣類乾燥機,910
その他,910
その他,911
ゴルフ,                                      10
フィッシング,10
自転車,10
トレーニング/エクササイズ,10
野球,10
サッカー/フットサル,10
テニス,10
スノーボード,10
スキー,10
その他スポーツ,10
アウトドア,10
その他,10
クラブ,987
ウエア(男性用),987
ウエア(女性用),987
バッグ,987
シューズ(男性用),987
シューズ(女性用),987
アクセサリー,987
その他,987
ロッド,988
リール,988
ルアー用品,988
ウエア,988
釣り糸/ライン,988
その他,988
自転車本体,989
ウエア,989
パーツ,989
アクセサリー,989
バッグ,989
工具/メンテナンス,989
その他,989
ランニング,990
ウォーキング,990
ヨガ,990
トレーニング用品,990
その他,990
ウェア,991
シューズ,991
グローブ,991
バット,991
アクセサリー,991
防具,991
練習機器,991
記念グッズ,991
応援グッズ,991
その他,991
ウェア,992
シューズ,992
ボール,992
アクセサリー,992
記念グッズ,992
応援グッズ,992
その他,992
ラケット(硬式用),993
ラケット(軟式用),993
ウェア,993
シューズ,993
ボール,993
アクセサリー,993
記念グッズ,993
応援グッズ,993
その他,993
ボード,994
バインディング,994
ブーツ(男性用),994
ブーツ(女性用),994
ブーツ(子ども用),994
ウエア/装備(男性用),994
ウエア/装備(女性用),994
ウエア/装備(子ども用),994
アクセサリー,994
バッグ,994
その他,994
板,995
ブーツ(男性用),995
ブーツ(女性用),995
ブーツ(子ども用),995
ビンディング,995
ウエア(男性用),995
ウエア(女性用),995
ウエア(子ども用),995
ストック,995
その他,995
ダンス/バレエ,996
サーフィン,996
バスケットボール,996
バドミントン,996
バレーボール,996
スケートボード,996
陸上競技,996
ラグビー,996
アメリカンフットボール,996
ボクシング,996
ボウリング,996
その他,996
テント/タープ,997
